Sample in Buffer,Sample in Window,TRIGGER,EXP_IBUF[15:0],clk50M_IBUF,HADDRI[31:0],HRDATAI[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
444,444,0,ff5e,0,000003c0,429cb284
445,445,0,ff5e,0,000003c4,bd10dbf8
446,446,0,ff5e,0,000003c8,4821b086
447,447,0,ff5e,0,000003b4,f44f6800
448,448,0,ff5e,0,000003b8,f7ff2032
449,449,0,ff5e,0,000003bc,1c60ffdc
450,450,0,ff5e,0,00000370,429cb284
451,451,0,ff5e,0,00000374,b5004770
452,452,0,ff5e,0,00000378,20004602
453,453,0,ff5e,0,0000037c,ff88f7ff
454,454,0,ff5e,0,00000380,f7ff4610
455,455,0,ff5e,0,00000380,00000000
456,456,0,ff5e,0,0000028c,2000ff89
457,457,0,ff5e,0,00000290,21e0f04f
458,458,0,ff5e,0,00000294,47706108
459,459,0,ff5e,0,00000298,21e0f04f
460,460,0,ff5e,0,0000029c,47706148
461,461,0,ff5e,0,0000037c,00000000
462,462,0,ff5e,0,0000003c,00000000
463,463,0,ff5e,0,00000380,000002c1
464,464,0,ff5e,0,000002c4,00000000
465,465,0,ff5e,0,000002c4,00000000
466,466,0,ff5e,0,000002c0,00000000
467,467,0,ff5e,0,000002c4,68004802
468,468,0,ff5e,0,000002c8,49011c40
469,469,0,ff5e,0,000002cc,47706008
470,470,0,ff5e,0,000002cc,00000000
471,471,0,ff5e,0,000002cc,00000000
472,472,0,ff5e,0,000002cc,00000000
473,473,0,ff5e,0,000002cc,20000004
474,474,0,ff5e,0,000002cc,00000000
475,475,0,ff5e,0,000002d0,00000000
476,476,0,ff5e,0,000002d0,20000004
477,477,0,ff5e,0,000002d4,4811b51f
478,478,0,ff5e,0,000002d4,00000000
479,479,0,ff5e,0,000002d4,20000004
480,480,0,ff5e,0,1ffffff8,00000000
481,481,0,ff5e,0,1ffffffc,00000000
482,482,0,ff5e,0,1ffffffc,00000000
483,483,0,ff5e,0,1ffffffc,00000000
484,484,0,ff5e,0,00000290,00000000
485,485,0,ff5e,0,00000294,00000000
486,486,0,ff5e,0,00000294,47706108
487,487,0,ff5e,0,00000298,21e0f04f
488,488,0,ff5e,0,0000029c,47706148
489,489,0,ff5e,0,0000029c,00000000
490,490,0,ff5e,0,0000029c,00000000
491,491,0,ff5e,0,0000037c,00000000
492,492,0,ff5e,0,00000380,f7ff4610
493,493,0,ff5e,0,00000384,2000ff89
494,494,0,ff5e,0,00000384,00000000
495,495,0,ff5e,0,00000294,ff8af7ff
496,496,0,ff5e,0,00000298,21e0f04f
497,497,0,ff5e,0,0000029c,47706148
498,498,0,ff5e,0,000002a0,21e0f04f
499,499,0,ff5e,0,000002a4,47706188
500,500,0,ff5e,0,00000380,00000000
501,501,0,ff5e,0,00000384,2000ff89
502,502,0,ff5e,0,00000388,ff8af7ff
503,503,0,ff5e,0,00000388,00000000
504,504,0,ff5e,0,0000029c,f7ff2007
505,505,0,ff5e,0,000002a0,21e0f04f
506,506,0,ff5e,0,000002a4,47706188
507,507,0,ff5e,0,000002a8,2000b510
508,508,0,ff5e,0,000002ac,fff0f7ff
509,509,0,ff5e,0,00000388,00000000
510,510,0,ff5e,0,0000038c,f7ff2007
511,511,0,ff5e,0,00000390,bf30ff7f
512,512,1,ff5e,0,00000390,00000000
513,513,0,ff5e,0,0000028c,b530bd00
514,514,0,ff5e,0,00000290,21e0f04f
515,515,0,ff5e,0,00000294,47706108
516,516,0,ff5e,0,00000298,21e0f04f
517,517,0,ff5e,0,0000029c,47706148
518,518,0,ff5e,0,0000038c,00000000
519,519,0,ff5e,0,00000390,bf30ff7f
520,520,0,ff5e,0,00000394,b530bd00
521,521,0,ff5e,0,00000394,00000000
522,522,0,ff5e,0,00000398,25004604
523,523,0,ff5e,0,0000039c,f44fe005
524,524,0,ff5e,0,0000039c,00000000
525,525,0,ff5e,0,0000039c,00000000
526,526,0,ff5e,0,0000039c,00000000
527,527,0,ff5e,0,0000039c,00000000
528,528,0,ff5e,0,0000039c,00000000
529,529,0,ff5e,0,0000039c,00000000
530,530,0,ff5e,0,0000039c,00000000
531,531,0,ff5e,0,0000039c,00000000
532,532,0,ff5e,0,0000039c,00000000
533,533,0,ff5e,0,0000039c,00000000
534,534,0,ff5e,0,0000039c,00000000
535,535,0,ff5e,0,0000039c,00000000
536,536,0,ff5e,0,0000039c,00000000
537,537,0,ff5e,0,0000039c,00000000
538,538,0,ff5e,0,0000039c,00000000
539,539,0,ff5e,0,0000039c,00000000
540,540,0,ff5e,0,0000039c,00000000
541,541,0,ff5e,0,0000039c,00000000
542,542,0,ff5e,0,0000039c,00000000
543,543,0,ff5e,0,0000039c,00000000
544,544,0,ff5e,0,0000039c,00000000
545,545,0,ff5e,0,0000039c,00000000
546,546,0,ff5e,0,0000039c,00000000
547,547,0,ff5e,0,0000039c,00000000
548,548,0,ff5e,0,0000039c,00000000
549,549,0,ff5e,0,0000039c,00000000
550,550,0,ff5e,0,0000039c,00000000
551,551,0,ff5e,0,0000039c,00000000
552,552,0,ff5e,0,0000039c,00000000
553,553,0,ff5e,0,0000039c,00000000
554,554,0,ff5e,0,0000039c,00000000
555,555,0,ff5e,0,0000039c,00000000
556,556,0,ff5e,0,0000039c,00000000
557,557,0,ff5e,0,0000039c,00000000
558,558,0,ff5e,0,0000039c,00000000
559,559,0,ff5e,0,0000039c,00000000
560,560,0,ff5e,0,0000039c,00000000
561,561,0,ff5e,0,0000039c,00000000
562,562,0,ff5e,0,0000039c,00000000
563,563,0,ff5e,0,0000039c,00000000
564,564,0,ff5e,0,0000039c,00000000
565,565,0,ff5e,0,0000039c,00000000
566,566,0,ff5e,0,0000039c,00000000
567,567,0,ff5e,0,0000039c,00000000
568,568,0,ff5e,0,0000039c,00000000
569,569,0,ff5e,0,0000039c,00000000
570,570,0,ff5e,0,0000039c,00000000
571,571,0,ff5e,0,0000039c,00000000
572,572,0,ff5e,0,0000039c,00000000
573,573,0,ff5e,0,0000039c,00000000
574,574,0,ff5e,0,0000003c,00000000
575,575,0,ff5e,0,0000039c,000002c1
576,576,0,ff5e,0,000002c4,00000000
577,577,0,ff5e,0,000002c4,00000000
578,578,0,ff5e,0,000002c0,00000000
579,579,0,ff5e,0,000002c4,68004802
580,580,0,ff5e,0,000002c8,49011c40
581,581,0,ff5e,0,000002cc,47706008
582,582,0,ff5e,0,000002cc,00000000
583,583,0,ff5e,0,000002cc,00000000
584,584,0,ff5e,0,000002cc,00000000
585,585,0,ff5e,0,000002cc,20000004
586,586,0,ff5e,0,000002cc,00000000
587,587,0,ff5e,0,000002d0,00000000
588,588,0,ff5e,0,000002d0,20000004
589,589,0,ff5e,0,000002d4,4811b51f
590,590,0,ff5e,0,000002d4,00000000
591,591,0,ff5e,0,000002d4,20000004
592,592,0,ff5e,0,1ffffff8,00000000
593,593,0,ff5e,0,1ffffffc,00000000
594,594,0,ff5e,0,1ffffffc,00000000
595,595,0,ff5e,0,1ffffffc,00000000
596,596,0,ff5e,0,00000390,00000000
