Sample in Buffer,Sample in Window,TRIGGER,EXP_IBUF[15:0],clk50M_IBUF,HADDRI[31:0],HRDATAI[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
460,460,0,ff5e,0,000003c8,00000000
461,461,0,ff5e,0,000003c8,00000000
462,462,0,ff5e,0,000003c8,00000000
463,463,0,ff5e,0,000003c8,00000000
464,464,0,ff5e,0,000003c8,00000000
465,465,0,ff5e,0,000003c8,00000000
466,466,0,ff5e,0,000003c8,00000000
467,467,0,ff5e,0,000003c8,00000000
468,468,0,ff5e,0,000003c8,00000000
469,469,0,ff5e,0,0000003c,00000000
470,470,0,ff5e,0,000003c8,000002ed
471,471,0,ff5e,0,000002f0,00000000
472,472,0,ff5e,0,000002f0,00000000
473,473,0,ff5e,0,000002ec,00000000
474,474,0,ff5e,0,000002f0,68004802
475,475,0,ff5e,0,000002f4,49011c40
476,476,0,ff5e,0,000002f8,47706008
477,477,0,ff5e,0,000002f8,00000000
478,478,0,ff5e,0,000002f8,00000000
479,479,0,ff5e,0,000002f8,00000000
480,480,0,ff5e,0,000002f8,20000004
481,481,0,ff5e,0,000002f8,00000000
482,482,0,ff5e,0,000002fc,00000000
483,483,0,ff5e,0,000002fc,20000004
484,484,0,ff5e,0,00000300,4811b51f
485,485,0,ff5e,0,00000300,00000000
486,486,0,ff5e,0,00000300,20000004
487,487,0,ff5e,0,1ffffff8,00000000
488,488,0,ff5e,0,1ffffffc,00000000
489,489,0,ff5e,0,1ffffffc,00000000
490,490,0,ff5e,0,1ffffffc,00000000
491,491,0,ff5e,0,000003bc,00000000
492,492,0,ff5e,0,000003c0,00000000
493,493,0,ff5e,0,000003c0,b530bd00
494,494,0,ff5e,0,000003c4,25004604
495,495,0,ff5e,0,000003c8,f44fe005
496,496,0,ff5e,0,000003c8,00000000
497,497,0,ff5e,0,000003c8,00000000
498,498,0,ff5e,0,000003c8,00000000
499,499,0,ff5e,0,000003c8,00000000
500,500,0,ff5e,0,000003e4,00000000
501,501,0,ff5e,0,000003e8,1c60ffdc
502,502,0,ff5e,0,000003ec,429cb284
503,503,0,ff5e,0,000003f0,bd10dbf8
504,504,0,ff5e,0,000003f4,4825b086
505,505,0,ff5e,0,000003e0,f44f6800
506,506,0,ff5e,0,000003e4,f7ff2032
507,507,0,ff5e,0,000003e8,1c60ffdc
508,508,0,ff5e,0,0000039c,429cb284
509,509,0,ff5e,0,000003a0,b5004770
510,510,0,ff5e,0,000003a4,20004602
511,511,0,ff5e,0,000003a8,ff88f7ff
512,512,1,ff5e,0,000003ac,f7ff4610
513,513,0,ff5e,0,000003ac,00000000
514,514,0,ff5e,0,000002b8,2000ff89
515,515,0,ff5e,0,000002bc,21e0f04f
516,516,0,ff5e,0,000002c0,47706108
517,517,0,ff5e,0,000002c4,21e0f04f
518,518,0,ff5e,0,000002c8,47706148
519,519,0,ff5e,0,000003a8,00000000
520,520,0,ff5e,0,0000003c,00000000
521,521,0,ff5e,0,000003ac,000002ed
522,522,0,ff5e,0,000002f0,00000000
523,523,0,ff5e,0,000002f0,00000000
524,524,0,ff5e,0,000002ec,00000000
525,525,0,ff5e,0,000002f0,68004802
526,526,0,ff5e,0,000002f4,49011c40
527,527,0,ff5e,0,000002f8,47706008
528,528,0,ff5e,0,000002f8,00000000
529,529,0,ff5e,0,000002f8,00000000
530,530,0,ff5e,0,000002f8,00000000
531,531,0,ff5e,0,000002f8,20000004
532,532,0,ff5e,0,000002f8,00000000
